Ingreso_Hab_Dia (S),ADR_USD (P),Public_Noct_USD (P),Fotos (P),Mascotas (M)
102,10.2,10,9,True
50.5,14.5,12.5,7.5,False
204,17,15,7,False
140,35,45,3,False
39.7,39.7,45,3,False
75.3,37.7,45,3,False
15,15,15,9,False
1071.5,14.8,14,9,False
20,10,9,8,False
10,10,9,8,False
254,25.4,39,27,True
34,17,17,3,True
144,18,17,3,True
31,15.5,15,12,False
42.2,10.6,15,12,False
51,15.5,14.5,7.5,False
105,15,14.5,7.5,False
70,10,10,5,False
270,9,10,5,False
81,13.5,14.5,7.5,False
253.7,19.5,30,9,False
164.9,10.3,15.5,5.5,False
34,34,30,9,False
70,10,9,7,False
162,9,9,7,False
70,10,9,7,False
104,13,13,13,True
174,11,11,10,False
156.7,17.7,18,8.7,False
17,17,10,4,False
22,22,79.5,7.5,True
112,16,10,18,True
72,12,10,18,True
30,10,9,7,False
40,10,9,7,False
20,10,9,7,False
42,14,14,1,True
21.5,21.5,20.5,1,False
24,12,13,5,False
132,22,19,2,False
236,26,24.5,2,False
315,21,19,2,False
400,20,19,2,False
280,20,19,2,False
288,18,19,2,False
234,18,18,8.5,False
52.7,23.9,22,23.7,False
155.7,22,28.4,20,False
78.8,20.4,26.3,25.5,False
103.4,23.3,27.4,19.7,False
39.5,27.3,28,27,False
47.9,22.1,28.6,23,False
33,23.5,29.5,19,False
20,20,20,7,True
60,20,20,7,True
42,21,28,30,False
557.3,31.4,36.3,21.6,False
160,16,14,5,True
14,14,14,4,False
14,14,14,4,False
14,14,14,4,False
243,18.7,16,1,False
15,15,19,17,True
76,12.7,19,17,True
19,19,19,17,True
110.5,55.3,48,26,True
506,97.3,102,17,False
60.7,30.7,25.3,11.7,False
95.3,23.8,33,14,False
88,29.3,33,14,False
464.4,46.4,54,3,True
954.9,43.4,54,3,True
11,11,9,7,False
30,10,9,7,False
200,10,9,7,False
29,9.7,9,7,False
108,21.6,25.5,7.5,False
139.5,38.4,39.5,9.5,False
386,32.9,39.5,9.5,False
54.8,27.4,37,11,False
22,22,19,17,True
